关键字,分类,上级,下级
高山气候,气候类型,,高山气候影响因素、海拔
分布,动词,,
高海拔,地理位置,,
山地,地形类型,,
随着,介词,,
升高,动词,,
气温,气象要素,,
降低,动词,,
降水,气象要素,,
先,时间词,,
增,动词,,
后,时间词,,
减,动词,,
气候,自然要素,,
垂直分异,分布规律,,
明显,修饰词,,
植被,自然要素,,
呈现,动词,,
垂直带谱,分布特征,,
主要,修饰词,,
影响,动词,,
因素,概念,,
高山气候影响因素,影响因素,高山气候,海拔
海拔,海拔型,高山气候影响因素,
纬度,纬度型,气候带影响因素,
洋流,洋流型,沿海气候影响因素,
气候带影响因素,影响因素,,
沿海气候影响因素,影响因素,,
亚热带季风气候,气候类型,,亚热带季风水热配合特点、雨热同期
秦岭,地理单元,,
淮河,地理单元,,
以南,方位词,,
地区,地理单元,,
夏季,季节,,
高温,温度特征,,
多雨,降水特征,,
冬季,季节,,
温和,温度特征,,
少雨,降水特征,,
年降水量,降水指标,,
丰富,修饰词,,
雨热,气候要素,,
同期,时间特征,,
有利于,关系词,,
农业生产,产业活动,,
水热,气候要素,,
配合,关系,,
特点,概念,,
亚热带季风水热配合特点,水热配合特征,亚热带季风气候,雨热同期
雨热同期,雨热同期型,亚热带季风水热配合特点,
雨热不同期,雨热不同期型,地中海气候水热配合特点,
全年少雨,全年少雨型,沙漠气候降水特点,
地中海气候水热配合特点,水热配合特征,,
沙漠气候降水特点,降水特征,,
外流河,河流类型,,外流河归宿、海洋
最终,修饰词,,
流入,动词,,
河流,水文系统,,
东部,地理位置,,
多,修饰词,,
属,动词,,
水量,水文指标,,
水系,水文系统,,
发达,修饰词,,
具有,动词,,
重要,修饰词,,
航运,交通功能,,
灌溉,农业功能,,
价值,概念,,
归宿,概念,,
外流河归宿,归宿类型,外流河,海洋
海洋,海洋型,外流河归宿,
湖泊,湖泊型,内流河归宿,
沙漠,沙漠型,内流河归宿,
内流河归宿,归宿类型,,
内流河,河流类型,,内流河分布区降水特点、稀少
消失,动词,,
内陆,地理位置,,
干旱,气候特征,,
半干旱,气候特征,,
较少,修饰词,,
季节性,时间特征,,
内流河分布区降水特点,降水特征,内流河,稀少
稀少,稀少型,内流河分布区降水特点,
丰富,丰富型,外流河降水特点,
均匀,均匀型,降水分布特点,
外流河降水特点,降水特征,,
降水分布特点,降水特征,,
汛期,水文现象,,河流汛期主要因素、降水
水位,水文指标,,
上涨,动词,,
时期,时间概念,,
季风区,气候区域,,
集中,修饰词,,
夏秋,季节,,
季节,时间概念,,
与,介词,,
季节分配,分布特征,,
密切,修饰词,,
相关,关系,,
决定,动词,,
河流汛期主要因素,影响因素,汛期,降水
降水,降水型,河流汛期主要因素,
蒸发,蒸发型,水量减少因素,
地形,地形型,地貌影响因素,
水量减少因素,影响因素,,
地貌影响因素,影响因素,,
