关键字,分类,上级,下级
地中海气候,气候类型,,地中海夏季降水特点、干燥
显著,修饰词,,
特征,概念,,
夏季,季节,,
炎热,温度特征,,
干燥,降水特征,,
冬季,季节,,
温和,温度特征,,
多雨,降水特征,,
南北纬,纬度概念,,
大陆,地理单元,,
西岸,地理位置,,
降水,气象要素,,
地中海夏季降水特点,降水特征,地中海气候,干燥
干燥,干燥型,地中海夏季降水特点,
多雨,多雨型,地中海冬季降水特点,
适中,适中型,温带海洋性降水特点,
地中海冬季降水特点,降水特征,,
温带海洋性降水特点,降水特征,,
温带季风气候,气候类型,,温带季风冬季气温特点、寒冷
高温,温度特征,,
四季,季节概念,,
分明,修饰词,,
集中,修饰词,,
华北地区,地理区域,,
典型,修饰词,,
代表,概念,,
气温,气象要素,,
温带季风冬季气温特点,气温特征,温带季风气候,寒冷
寒冷,寒冷型,温带季风冬季气温特点,
温暖,温暖型,温带海洋性气温特点,
炎热,炎热型,热带气温特点,
温带海洋性气温特点,气温特征,,
热带气温特点,气温特征,,
温带大陆性气候,气候类型,,温带大陆性降水特点、稀少
内部,地理位置,,
远离,空间关系,,
海洋,水体,,
海洋性,气候属性,,
气团,气象概念,,
难以,修饰词,,
到达,动词,,
年较差,温度指标,,
日较差,温度指标,,
温带大陆性降水特点,降水特征,温带大陆性气候,稀少
稀少,稀少型,温带大陆性降水特点,
丰富,丰富型,热带雨林降水特点,
均匀,均匀型,温带海洋性降水分布特点,
热带雨林降水特点,降水特征,,
温带海洋性降水分布特点,降水特征,,
极地气候,气候类型,,极地气温特点、严寒
南北极,地理区域,,
全年,时间词,,
严寒,温度特征,,
最暖月,时间概念,,
平均,修饰词,,
以下,介词,,
极少,修饰词,,
冰雪,自然要素,,
覆盖,动词,,
植被,自然要素,,
极地气温特点,气温特征,极地气候,严寒
严寒,严寒型,极地气温特点,
温和,温和型,温带气温特点,
炎热,炎热型,热带气温特点2,
温带气温特点,气温特征,,
热带气温特点2,气温特征,,
热带草原气候,气候类型,,热带草原季节特征、干湿季
热带雨林,气候类型,,
南北,方位词,,
两侧,地理位置,,
明显,修饰词,,
交替,特征词,,
现象,概念,,
湿季,季节类型,,
干季,季节类型,,
热带草原季节特征,季节特征,热带草原气候,干湿季
干湿季,干湿季型,热带草原季节特征,
四季如春,四季如春型,热带高山季节特征,
冬夏两季,冬夏两季型,热带季风季节特征,
热带高山季节特征,季节特征,,
热带季风季节特征,季节特征,,
