关键字,分类,上级,下级
喀斯特地貌,地貌类型,,喀斯特岩石类型、石灰岩
可溶性,岩石属性,,
岩石,地质物质,,
水,自然要素,,
化学,作用类型,,
溶蚀,地质作用,,
机械,作用类型,,
侵蚀,地质作用,,
独特,修饰词,,
地貌类型,地貌概念,,
西南地区,地理区域,,
分布,动词,,
广泛,修饰词,,
形成,动词,,
喀斯特岩石类型,岩石分类,喀斯特地貌,石灰岩
石灰岩,石灰岩型,喀斯特岩石类型,
花岗岩,花岗岩型,岩浆岩类型,
玄武岩,玄武岩型,岩浆岩类型,
岩浆岩类型,岩石分类,,
黄土高原,地貌单元,,黄土高原地貌特征、千沟万壑
世界,地理范围,,
最大,修饰词,,
黄土,沉积物,,
堆积,地质作用,,
厚度,属性,,
大,修饰词,,
地表,地理单元,,
沟壑,地貌形态,,
纵横,修饰词,,
水土流失,环境问题,,
严重,修饰词,,
黄土高原地貌特征,地貌特征,黄土高原,千沟万壑
千沟万壑,千沟万壑型,黄土高原地貌特征,
平坦开阔,平坦开阔型,平原地貌特征,
冰川侵蚀,冰川侵蚀型,冰川地貌特征,
平原地貌特征,地貌特征,,
冰川地貌特征,地貌特征,,
三角洲,地貌单元,,三角洲地质作用、沉积作用
河流,水文系统,,
携带,动词,,
泥沙,沉积物,,
河口,地理位置,,
沉积,地质作用,,
地貌单元,地貌概念,,
平原,地形类型,,
面积,属性,,
土壤,自然要素,,
肥沃,土壤属性,,
农业区,经济区域,,
三角洲地质作用,地质作用类型,三角洲,沉积作用
沉积作用,沉积作用型,三角洲地质作用,
侵蚀作用,侵蚀作用型,外力侵蚀类型,
变质作用,变质作用型,岩石变质类型,
外力侵蚀类型,地质作用类型,,
岩石变质类型,地质作用类型,,
丹霞地貌,地貌类型,,丹霞地貌颜色、红色
砂砾岩,岩石类型,,
长期,时间词,,
风化,地质作用,,
剥蚀,地质作用,,
流水,外力因素,,
地貌景观,景观类型,,
陡峭,形态特征,,
崖壁,地貌形态,,
奇特,修饰词,,
造型,形态特征,,
闻名,动词,,
丹霞地貌颜色,地貌特征,丹霞地貌,红色
红色,红色型,丹霞地貌颜色,
黄色,黄色型,黄土地貌颜色,
灰色,灰色型,石灰岩颜色,
黄土地貌颜色,地貌特征,,
石灰岩颜色,岩石特征,,
冰川,自然要素,,冰川地貌类型、U型谷
堆积,地质作用,,
地表形态,形态概念,,
高纬度,地理位置,,
高海拔,地理位置,,
冰川地貌类型,地貌分类,冰川,U型谷
U型谷,U型谷型,冰川地貌类型,
V型谷,V型谷型,河流侵蚀地貌类型,
峡谷,峡谷型,河流侵蚀地貌类型,
河流侵蚀地貌类型,地貌分类,,
