关键字,分类,上级,下级
沙漠,地貌类型,,沙漠风积地貌、沙丘
地区,地理单元,,
降水,气象要素,,
稀少,修饰词,,
植被覆盖率,植被指标,,
低,修饰词,,
风力,外力因素,,
作用,动词,,
强烈,修饰词,,
风蚀,地质作用,,
风积,地质作用,,
独特,修饰词,,
地貌景观,景观类型,,
常见,修饰词,,
沙漠风积地貌,地貌分类,沙漠,沙丘
沙丘,沙丘型,沙漠风积地貌,
石林,石林型,喀斯特地貌类型,
溶洞,溶洞型,喀斯特地貌类型,
喀斯特地貌类型,地貌分类,,
火山,地质构造,,火山喷发物质、岩浆
火山地貌,地貌类型,火山,
喷发,地质活动,,
活动,过程,,
地表形态,形态概念,,
火山锥,地貌单元,,
火山口,地貌单元,,
典型,修饰词,,
板块,地质单元,,
边界,地理位置,,
地带,区域概念,,
火山喷发物质,物质类型,火山,岩浆
岩浆,岩浆型,火山喷发物质,
冰川,冰川型,冰川地质要素,
黄土,黄土型,沉积物类型,
冰川地质要素,地质要素,,
沉积物类型,物质类型,,
海岸,地理位置,,海岸侵蚀动力、海浪
海岸地貌,地貌类型,海岸,
海浪,海洋动力,,
潮汐,海洋动力,,
海洋,水体,,
动力,力量,,
陆地,地理单元,,
边缘,地理位置,,
海蚀崖,地貌单元,,
海滩,地貌单元,,
形态,概念,,
侵蚀,地质作用,,
海岸侵蚀动力,动力类型,海岸,海浪
海浪,海浪型,海岸侵蚀动力,
河流,河流型,水文要素,
水文要素,地理要素,,
断层,地质构造,,断层作用力、构造力
地壳,地球结构,,
岩层,地质结构,,
构造,地质概念,,
应力,力量,,
破裂,过程,,
破裂面,构造面,,
明显,修饰词,,
位移,过程,,
陡峭,形态特征,,
断层崖,地貌单元,,
断层作用力,作用力类型,断层,构造力
构造力,构造力型,断层作用力,
重力,重力型,自然力类型,
风力,风力型,自然力类型,
自然力类型,力量类型,,
热带雨林气候,气候类型,,热带雨林降水特点、丰富
全年,时间词,,
高温,温度特征,,
多雨,降水特征,,
充沛,修饰词,,
分布,动词,,
均匀,修饰词,,
干湿季,季节类型,,
亚马孙平原,地理区域,,
刚果盆地,地理区域,,
年降水量,降水指标,,
特点,概念,,
热带雨林降水特点,降水特征,热带雨林气候,丰富
丰富,丰富型,热带雨林降水特点,
稀少,稀少型,干旱气候降水特点,
季节性,季节性型,季风气候降水特点,
干旱气候降水特点,降水特征,,
季风气候降水特点,降水特征,,
