关键字,分类,上级,下级
岩石圈物质循环,地质过程,地质作用,三大岩石、岩浆岩、沉积岩、变质岩、岩浆冷凝
地质作用,概念,地质,内力作用、外力作用
三大岩石,岩石类型,岩石,岩浆岩、沉积岩、变质岩
岩石类型,概念,岩石,岩浆岩、沉积岩、变质岩
岩石,概念,,
岩浆岩,概念,三大岩石,岩浆冷凝
沉积岩,概念,三大岩石,沉积压实
变质岩,概念,三大岩石,变质作用
岩浆,物质,地球内部物质,岩浆岩、岩浆冷凝
岩浆冷凝,岩浆冷凝型,岩浆岩,
沉积压实,沉积压实型,沉积岩,
变质作用,变质作用型,变质岩,
形成过程,地质过程,地质作用,岩浆冷凝、沉积压实、变质作用
地球内外力,动力,地质作用,内力作用、外力作用
内力作用,地质作用,地质作用,岩浆活动、地壳运动、变质作用
外力作用,地质作用,地质作用,风化、侵蚀、沉积
全球气候变暖,环境问题,气候变化,温室气体、海平面上升、极端天气
气候变化,概念,气候,
环境问题,概念,,
人类活动,影响因素,环境影响,温室气体排放
温室气体,温室气体型,气候变暖原因,
太阳活动,太阳活动型,气候影响因素,
火山喷发,火山喷发型,气候影响因素,
海平面上升,影响,气候变暖后果,
极端天气,影响,气候变暖后果,
气候变暖,环境问题,气候变化,温室气体
温室气体排放,人类活动,环境影响,温室气体
地壳运动,地质作用,内力作用,水平运动、垂直运动、地表形态、地球内部
内力,动力,地球内部,地壳运动、岩浆活动
地球内部,地球内部型,内力作用,
水平运动,运动类型,地壳运动,
垂直运动,运动类型,地壳运动,
地表形态,地形,地表,山地、高原、平原、盆地
塑造,地质过程,地质作用,地表形态
能量来源,概念,,地球内部、太阳辐射、潮汐力
动力,概念,能量,地球内部
太阳辐射,太阳辐射型,外力能量,
潮汐力,潮汐力型,天体作用,
风化作用,外力作用,外力作用,物理风化、化学风化、生物风化
岩石,物质,地表物质,
地表环境,环境,地理环境,气候、水、生物
温度变化,气候因素,气候,风化作用
水,外力因素,自然要素,化学风化、物理风化
生物,外力因素,自然要素,生物风化
破碎,风化过程,风化作用,物理风化
分解,风化过程,风化作用,化学风化
物理风化,风化类型,风化作用,
化学风化,风化类型,风化作用,
生物风化,风化类型,风化作用,
气候,气候型,影响因素,
纬度,纬度型,地理因素,
海拔,海拔型,地形因素,
影响因素,概念,,
生态系统,生态概念,生态学,生物群落、物质循环、能量流动、生产者、太阳能
生物群落,生态概念,生态系统,生产者、消费者、分解者
生存环境,生态概念,生态系统,
物质循环,生态过程,生态系统,
能量流动,生态过程,生态系统,太阳能
系统稳定,生态特征,生态系统,
生产者,生态角色,生物群落,光合作用、太阳能
光合作用,生理过程,生产者,太阳能
基础,生态特征,生态系统,生产者、光合作用、太阳能
太阳能,太阳能型,能量流动,
化学能,化学能型,能量,
热能,热能型,能量,
统一整体,系统特征,生态系统,
