关键字,分类,上级,下级
森林,植被类型,,森林主要生态功能、涵养水源
陆地,地理单元,,
生态系统,系统类型,,
重要,修饰词,,
植被,自然要素,,
类型,概念,,
具有,动词,,
涵养,生态功能,,
水源,水资源,,
保持,生态功能,,
水土,自然要素,,
调节,生态功能,,
气候,自然要素,,
多种,修饰词,,
生态功能,功能类型,,
维护,动词,,
生态平衡,生态状态,,
意义,概念,,
重大,修饰词,,
主要,修饰词,,
森林主要生态功能,生态功能,森林,涵养水源
涵养水源,涵养水源型,森林主要生态功能,
提供木材,提供木材型,森林经济功能,
美化环境,美化环境型,森林景观功能,
森林经济功能,功能类型,,
森林景观功能,功能类型,,
红壤,土壤类型,,红壤酸碱性特征、酸性
分布,动词,,
南方,地理位置,,
湿热,气候特征,,
地区,地理单元,,
高温,温度特征,,
多雨,降水特征,,
气候条件,气候要素,,
发育,过程,,
土壤,自然要素,,
呈,动词,,
有机质,土壤成分,,
含量,指标,,
相对,修饰词,,
较低,修饰词,,
酸碱性,土壤性质,,
特征,概念,,
红壤酸碱性特征,土壤性质,红壤,酸性
酸性,酸性型,红壤酸碱性特征,
碱性,碱性型,盐碱土酸碱性特征,
中性,中性型,中性土壤酸碱性特征,
盐碱土酸碱性特征,土壤性质,,
中性土壤酸碱性特征,土壤性质,,
黑土,土壤类型,,黑土突出特点、肥沃
世界,地理范围,,
肥沃,土壤性质,,
东北平原,地理单元,,
高,修饰词,,
土层,土壤结构,,
深厚,修饰词,,
粮食,农产品,,
生产,活动,,
基地,区域,,
突出,修饰词,,
特点,概念,,
黑土突出特点,土壤特征,黑土,肥沃
肥沃,肥沃型,黑土突出特点,
贫瘠,贫瘠型,贫瘠土壤特点,
盐碱,盐碱型,盐碱土特点,
贫瘠土壤特点,土壤特征,,
盐碱土特点,土壤特征,,
荒漠,植被类型,,荒漠降水特点、稀少
荒漠植被,植被类型,荒漠,
干旱,气候特征,,
降水,气象要素,,
稀少,修饰词,,
植物,生物类型,,
种类,概念,,
少,修饰词,,
覆盖度,植被指标,,
低,修饰词,,
耐旱,植物特性,,
灌木,植物类型,,
草本,植物类型,,
荒漠降水特点,降水特征,荒漠,稀少
稀少,稀少型,荒漠降水特点,
丰富,丰富型,湿润区降水特点,
季节性强,季节性强型,季风区降水特点,
湿润区降水特点,降水特征,,
季风区降水特点,降水特征,,
草原,植被类型,,草原优势植物类型、草本
草原植被,植被类型,草原,
半干旱,气候特征,,
温带,气候带,,
畜牧业,产业类型,,
内蒙古高原,地理单元,,
优势,修饰词,,
草原优势植物类型,植物类型,草原,草本
草本,草本型,草原优势植物类型,
乔木,乔木型,森林优势植物类型,
灌木,灌木型,灌丛优势植物类型,
森林优势植物类型,植物类型,,
灌丛优势植物类型,植物类型,,
