关键字,分类,上级,下级
资源型城市,城市类型,,资源城市特点、依赖资源、产业单一
城市,地理单元,,
高度,修饰词,,
依赖,动词,,
矿产资源,资源类型,,
开发,活动类型,,
产业结构,经济结构,,
单一,修饰词,,
枯竭,状态,,
面临,动词,,
转型,过程,,
困难,状态,,
问题,概念,,
资源城市特点,城市特征,资源型城市,依赖资源、产业单一
依赖资源,依赖资源型,资源城市特点,
产业单一,产业单一型,资源城市特点,
多元发展,多元发展型,综合型城市特点,
综合型城市特点,城市特征,,
区域,地理单元,,
协调,修饰词,,
要求,动词,,
统筹,修饰词,,
各,修饰词,,
地区,地理单元,,
资源禀赋,资源条件,,
产业基础,产业条件,,
发展水平,发展指标,,
优化,动词,,
配置,动词,,
布局,动词,,
区域发展,发展过程,,发展考虑因素、资源配置、产业布局
发展考虑因素,考虑要素,区域发展,资源配置、产业布局
资源配置,资源配置型,发展考虑因素,
产业布局,产业布局型,发展考虑因素,
地貌,地貌型,自然地理要素,
自然地理要素,地理要素,,
板块构造学说,地质理论,,
地球,天体,,
岩石圈,地球圈层,,
板块,地质单元,,
组成,动词,,
导致,动词,,
地质现象,现象类型,,
发生,动词,,
认为,动词,,
板块运动,地质过程,,板块运动表现、地震、火山
板块运动表现,地质表现,板块运动,地震、火山
地震,地震型,板块运动表现,
火山,火山型,板块运动表现,
降雨,降雨型,气象现象,
气象现象,现象类型,,
水循环,自然过程,,水循环环节、蒸发、降水
自然界,自然系统,,
水分,物质,,
不断,修饰词,,
运动,过程,,
转化,过程,,
相互联系,关系,,
环节,组成部分,,
包括,动词,,
水循环环节,循环阶段,水循环,蒸发、降水
蒸发,蒸发型,水循环环节,
降水,降水型,水循环环节,
风化,风化型,地质作用,
地质作用,地质过程,,
大气环流,大气过程,,大气环流类型、三圈环流、季风环流
全球,地理范围,,
范围,空间概念,,
空气,大气成分,,
大规模,修饰词,,
形式,概念,,
气候分布,气候格局,,
决定,动词,,
大气环流类型,环流分类,大气环流,三圈环流、季风环流
三圈环流,三圈环流型,大气环流类型,
季风环流,季风环流型,大气环流类型,
水循环,水循环型,水文过程,
水文过程,自然过程,,
