关键字,分类,上级,下级
气候,概念,自然地理,气候因素、气候要素、气候类型
形成,地理过程,,
受,动词,,
多种,修饰词,,
因素,概念,,
共同,修饰词,,
影响,动词,,
其中,介词,,
地理位置,地理位置型,气候因素,纬度
地表状况,地表状况型,气候因素,地形
海洋状况,海洋状况型,气候因素,洋流
等,助词,,
都,副词,,
发挥,动词,,
重要,修饰词,,
作用,名词,,
主要,修饰词,,
气候因素,概念,气候,纬度、地形、洋流
纬度,纬度型,气候因素,
地形,地形型,气候因素,
洋流,洋流型,气候因素,
纬度因素,地理因素,纬度,纬度
地形因素,地理因素,地形,地形
洋流因素,地理因素,洋流,洋流
气候要素,概念,气候,温度、降水
温度,气候要素,气候,气温适中、年较差小
降水,气候要素,气候,季节分配均匀
自然地理,概念,,
温带海洋性气候,气候类型,气候,温和、湿润
气候类型,概念,气候,温带海洋性气候
分布,地理特征,,
大陆,地理区域,,
西岸,地理位置,,
大陆西岸,地理位置,温带海洋性气候,
全年,时间特征,,
气温,气候要素,温度,气温适中、年较差小
适中,温度特征,温和,
气温适中,气候特征,温带海洋性气候,温和
降水季节,时间特征,降水,
分配,地理过程,,
均匀,分配特征,湿润,
季节分配均匀,气候特征,温带海洋性气候,湿润
气温年较差,气候特征,温度,
小,程度词,,
年较差小,气候特征,温带海洋性气候,温和
该,代词,,
特点,概念,,
包括,动词,,
海洋性气候,气候分类,气候,温带海洋性气候
温和,温和型,温带海洋性气候,
湿润,湿润型,温带海洋性气候,
干旱,干旱型,大陆性气候,
分布特征,地理特征,,
大陆性气候,气候分类,气候,
我国,国家,地理区域,季风区
季风区,气候区,我国,季风气候类型
范围,空间特征,,
广阔,空间特征,季风区,
覆盖,动词,,
多种气候类型,气候特征,季风区,季风气候类型
这些,代词,,
气候区,气候分类,气候,季风区
明显,程度词,,
季节变化,气候特征,季风区,季风气候类型
季节,时间,,
变化,动词,,
特征,概念,,
季节变化特征,气候特征,季风区,季风气候类型
季风,大气环流,气候系统,季风区
季风气候类型,气候类型,季风区,亚热带季风、温带季风
亚热带季风,亚热带季风型,季风气候类型,
温带季风,温带季风型,季风气候类型,
热带沙漠,热带沙漠型,干旱气候区,
气候系统,概念,,
干旱气候区,气候区,气候,热带沙漠
热带气候区,气候区,气候,热带气候类型
终年,时间特征,,
高温,温度特征,热带气候区,
但,连词,,
降水差异,气候特征,热带气候区,热带气候类型
差异,特征,,
显著,程度词,,
不同,修饰词,,
热带气候类型,气候类型,热带气候区,热带雨林、热带草原
热带雨林,热带雨林型,热带气候类型,
热带草原,热带草原型,热带气候类型,
温带海洋,温带海洋型,温带气候区,
温带气候区,气候区,气候,温带海洋
大陆性气候区,气候区,气候,大陆性气候特征、干燥、温差大
远离,空间关系,,
海洋,地理区域,,
远离海洋,地理位置,大陆性气候区,干燥、温差大
气温日较差,气候特征,大陆性气候区,温差大
日较差,温度特征,温差大,
和,连词,,
年较差,温度特征,温差大,
很大,程度词,温差大,
日较差大,温度特征,大陆性气候区,温差大
年较差大,温度特征,大陆性气候区,温差大
降水稀少,气候特征,大陆性气候区,干燥
稀少,降水特征,干燥,
大陆性气候特征,气候特征,大陆性气候区,干燥、温差大
干燥,干燥型,大陆性气候特征,
温差大,温差大型,大陆性气候特征,
降水多,降水多型,湿润气候区,
湿润气候区,气候区,气候,降水多
