关键字,分类,上级,下级
地中海气候,气候类型,气候,地中海气候特征、夏季干热、冬雨夏干
分布,地理特征,,
南北纬,纬度位置,,
30°-40°,纬度范围,,
大陆,地理区域,,
西岸,地理位置,,
大陆西岸,地理位置,地中海气候,
冬夏,季节,,
季节,时间,,
气温,气候要素,,
和,连词,,
降水,气候要素,,
特征,概念,,
差异,特征,,
明显,程度词,,
冬夏季节,时间特征,地中海气候,
气温降水特征,气候特征,地中海气候,
差异明显,特征描述,地中海气候,夏季干热、冬雨夏干
该,代词,,
地中海气候特征,气候特征,地中海气候,夏季干热、冬雨夏干
夏季干热,夏季干热型,地中海气候特征,
冬雨夏干,冬雨夏干型,地中海气候特征,
全年高温,全年高温型,热带气候特征,
气候,概念,,
热带气候特征,气候特征,热带气候,全年高温
热带气候,气候类型,气候,全年高温
降水,气候要素,,
形成,地理过程,,
需要,动词,,
充足,程度词,,
水汽,气象要素,降水形成条件,
上升运动,气象过程,降水形成条件,
凝结核,气象要素,降水形成条件,
等,助词,,
条件,概念,,
受,动词,,
大气环流,大气环流型,降水影响因素,
地形,地形型,降水影响因素,
因素,概念,,
影响,动词,,
降水形成条件,气象条件,降水,水汽、上升运动、凝结核
降水分布,地理分布,降水,降水影响因素
降水影响因素,影响因素,降水分布,大气环流、地形、纬度
纬度,纬度型,降水影响因素,
寒潮,灾害性天气,天气系统,寒潮影响、降温、大风
是,动词,,
我国,国家,,
冬半年,时间特征,寒潮,
常见,修饰词,,
灾害性天气,天气类型,天气,寒潮
由,介词,,
强冷空气,气象系统,寒潮,
迅速,修饰词,,
南下,运动方向,强冷空气,
造成,动词,,
大范围,空间特征,寒潮,
剧烈,程度词,,
天气变化,天气现象,寒潮,降温、大风
天气,概念,,
天气系统,概念,天气,
主要,修饰词,,
寒潮影响,灾害影响,寒潮,降温、大风
降温,降温型,寒潮影响,
大风,大风型,寒潮影响,
增温,增温型,暖气团影响,
暖气团影响,气象影响,暖气团,增温
暖气团,气象系统,天气,
河流,水文要素,,
补给方式,水文特征,河流,河流补给类型、雨水、冰雪融水
多样,修饰词,河流补给类型,
不同,修饰词,,
地区,空间单位,,
因,连词,,
气候,概念,,
地形条件,地理条件,,
来源,概念,,
河流补给类型,水文类型,河流,雨水、冰雪融水
雨水,雨水型,河流补给类型,
冰雪融水,冰雪融水型,河流补给类型,
风力,风力型,外力作用类型,
外力作用类型,地质作用,外力作用,风力
外力作用,概念,,
长江,河流实体,河流,长江水文特征、水量大、汛期长
第一大河,河流等级,长江,
流域,地理单位,长江,
面积,空间参数,,
广阔,空间特征,长江,
水能,资源类型,,
资源,概念,,
丰富,程度词,长江,
水文特征,水文概念,,
显著,程度词,长江水文特征,
长江水文特征,水文特征,长江,水量大、汛期长
水量大,水量大型,长江水文特征,
汛期长,汛期长型,长江水文特征,
含沙量最大,含沙量最大型,黄河水文特征,
黄河水文特征,水文特征,黄河,含沙量最大
黄河,河流实体,河流,含沙量最大
