关键字,分类,上级,下级
我国,地理单元,,
畜牧业,产业类型,,畜牧业土地类型、草地、林地
发展,动词,,
需要,动词,,
大面积,修饰词,,
放牧场地,场地类型,,
放牧,活动类型,,
场地,空间概念,,
主要,修饰词,,
依托,动词,,
部分,修饰词,,
资源,资源概念,,
两种,修饰词,,
土地类型,分类概念,,
提供,动词,,
良好,修饰词,,
自然条件,条件类型,,
畜牧业土地类型,土地分类,畜牧业,草地、林地
草地,草地型,畜牧业土地类型,
林地,林地型,畜牧业土地类型,
水域,水域型,水体土地类型,
水体土地类型,土地分类,,
城市化,社会过程,,城市化表现、人口增加、用地扩张
社会经济发展,发展过程,,
必然,修饰词,,
趋势,概念,,
多个,修饰词,,
方面,概念,,
明显,修饰词,,
体现,动词,,
城市化表现,表现形式,城市化,人口增加、用地扩张
人口增加,人口增加型,城市化表现,
用地扩张,用地扩张型,城市化表现,
农村增多,农村增多型,逆城市化表现,
逆城市化表现,表现形式,,
工业,产业类型,,
区位选择,选择过程,,
区位,空间概念,,
选择,动词,,
综合,修饰词,,
考虑,动词,,
原料,生产要素,,
燃料,生产要素,,
劳动力,生产要素,,
降低,动词,,
成本,经济概念,,
提高,动词,,
效益,经济概念,,
工业区位选择,区位决策,,工业区位因素、交通、市场
工业区位因素,区位因素,工业区位选择,交通、市场
交通,交通型,工业区位因素,
市场,市场型,工业区位因素,
气候,气候型,农业区位因素,
农业区位因素,区位因素,,
人口,人口概念,,
迁移,人口过程,,
经济发展水平,经济指标,,
就业机会,社会条件,,
生活条件,社会条件,,
政策因素,社会因素,,
多方面,修饰词,,
迁出地,地域概念,,
迁入地,地域概念,,
产生,动词,,
重要,修饰词,,
人口迁移,人口流动,,迁移影响因素、经济、政策
迁移影响因素,影响因素,人口迁移,经济、政策
经济,经济型,迁移影响因素,
政策,政策型,迁移影响因素,
地形,地形型,自然地理因素,
自然地理因素,因素类型,,
现代,修饰词,,
交通运输,运输系统,,
运输,活动类型,,
方式,方法概念,,
多样,修饰词,,
各有,修饰词,,
优缺点,评价概念,,
运输量,运输指标,,
大,修饰词,,
速度,运输指标,,
快,修饰词,,
机动,特性,,
灵活,修饰词,,
合理,修饰词,,
交通运输方式,运输类型,,主要交通方式、铁路、公路
主要交通方式,交通分类,交通运输方式,铁路、公路
铁路,铁路型,主要交通方式,
公路,公路型,主要交通方式,
土壤,土壤型,土壤类型,
土壤类型,自然要素,,
