关键字,分类,上级,下级
黑土,土壤类型,,黑土特点、肥沃、有机质多
世界,地理范围,,
品质,质量属性,,
最好,修饰词,,
东北地区,地理区域,,
适宜,修饰词,,
发展,动词,,
农业生产,产业活动,,
黑土特点,土壤特征,黑土,肥沃、有机质多
肥沃,肥沃型,黑土特点,
有机质多,有机质多型,黑土特点,
贫瘠,贫瘠型,贫瘠土壤特点,
贫瘠土壤特点,土壤特征,,
山地,地形类型,,
植被,植被概念,,
垂直分布,分布规律,,
规律,概念,,
明显,修饰词,,
山麓,地形部位,,
山顶,地形部位,,
依次,修饰词,,
出现,动词,,
不同,修饰词,,
植被带,植被分布单元,,
受,动词,,
引起,动词,,
变化,概念,,
控制,动词,,
山地植被,植被系统,山地,
植被垂直分布,分布系统,山地植被,垂直分布因素、海拔、热量
垂直分布因素,影响因素,植被垂直分布,海拔、热量
海拔,海拔型,垂直分布因素,
热量,热量型,垂直分布因素,
经度,经度型,水平分布因素,
水平分布因素,影响因素,,
热带雨林,生态系统类型,,雨林特征、物种丰富、分层明显
地球,地理范围,,
生物多样性,生物特征,,
最高,修饰词,,
全年,时间词,,
高温多雨,气候特征,,
植物,生物类型,,
种类,分类概念,,
繁多,修饰词,,
雨林特征,生态特征,热带雨林,物种丰富、分层明显
物种丰富,物种丰富型,雨林特征,
分层明显,分层明显型,雨林特征,
落叶林,落叶林型,温带森林特征,
温带森林特征,生态特征,,
土壤退化,土壤过程,,退化类型、水土流失、盐碱化
土壤质量,土壤属性,,
下降,变化趋势,,
过程,概念,,
表现形式,形式概念,,
严重,修饰词,,
土地,地理单元,,
生产力,能力概念,,
退化类型,退化分类,土壤退化,水土流失、盐碱化
水土流失,水土流失型,退化类型,
盐碱化,盐碱化型,退化类型,
肥力增加,肥力增加型,土壤改良类型,
土壤改良类型,改良分类,,
农业生产,产业活动,,农业自然因素、气候、地形
自然条件,条件类型,,
社会经济条件,条件类型,,
双重,修饰词,,
土壤,自然要素,,
自然因素,因素类型,,
基础性,修饰词,,
作用,概念,,
其中,连接词,,
等,助词,,
农业自然因素,影响因素,农业生产,气候、地形
气候,气候型,农业自然因素,
地形,地形型,农业自然因素,
政策,政策型,社会经济因素,
社会经济因素,因素类型,,
