关键字,分类,上级,下级
河流,水文要素,,
水量,水文参数,河流,
大小,程度,,
受,动词,,
流域,地理单元,河流,
内,方位词,,
流域内,空间范围,河流,
降水量,水文要素,河流水量影响因素,
蒸发量,水文要素,河流水量影响因素,
流域面积,空间参数,河流水量影响因素,
等,助词,,
多种,修饰词,,
因素,概念,,
综合,修饰词,,
影响,动词,,
主要,修饰词,,
河流水量,水文特征,河流,河流水量影响因素、降水、流域面积
河流水量影响因素,影响因素,河流水量,降水、流域面积
降水,降水型,河流水量影响因素,
流域面积,流域面积型,河流水量影响因素,
岩石类型,岩石类型型,地质因素,
地质因素,地质概念,地质,岩石类型
地质,概念,,
湖泊,水体类型,,
按,介词,,
成因,地质过程,湖泊分类,
可,助词,,
分,动词,,
类型,概念,,
不同,修饰词,,
具有,动词,,
形态,空间特征,,
形态特征,地理特征,湖泊,
湖泊分类,分类方式,湖泊,湖泊成因类型
湖泊成因类型,湖泊类型,湖泊,构造湖、火山湖
构造湖,构造湖型,湖泊成因类型,
火山湖,火山湖型,湖泊成因类型,
风蚀湖,风蚀湖型,风蚀地貌类型,
风蚀地貌类型,地貌类型,风蚀地貌,风蚀湖
风蚀地貌,地貌,外力作用,
地下水,水资源类型,淡水资源,地下水类型、潜水、承压水
是,动词,,
重要,修饰词,,
淡水,水类型,,
资源,概念,,
淡水资源,水资源,资源,地下水
埋藏,空间状态,,
条件,概念,,
埋藏条件,地质条件,地下水,
它们,代词,,
补给,水文过程,,
运动,物理过程,,
方式,概念,,
补给方式,水文特征,地下水,
运动方式,水文特征,地下水,
地下水类型,水文类型,地下水,潜水、承压水
潜水,潜水型,地下水类型,
承压水,承压水型,地下水类型,
海水,海水型,海洋水体,
海洋水体,水体类型,海洋,海水
海洋,地理区域,,
黄河,河流实体,河流,黄河特征、含沙量大、地上河
中华民族,民族,,
母亲河,河流名称,黄河,含沙量大、地上河
中游,河段,黄河,含沙量大、地上河
流经,动词,,
黄土高原,高原实体,高原,含沙量大
水土流失,地理过程,黄河,含沙量大、地上河
严重,程度词,黄河,含沙量大、地上河
河流特征,水文特征,,
独特,修饰词,黄河特征,含沙量大、地上河
黄河特征,水文特征,黄河,含沙量大、地上河
含沙量大,含沙量大型,黄河特征,
地上河,地上河型,黄河特征,
水量最大,水量最大型,长江特征,
长江特征,水文特征,长江,水量最大
长江,河流实体,河流,水量最大
高原,地形类型,,
河流水系,水系概念,河流,水系特征、流向、河网密度
水系,水文系统,河流,
指,动词,,
干流,河流组成,河流水系,
支流,河流组成,河流水系,
构成,动词,,
脉络,系统特征,,
系统,概念,,
脉络系统,系统类型,河流水系,
形态,特征,,
特征,概念,,
地形,地形型,水系影响因素,
气候,气候型,水系影响因素,
水系影响因素,影响因素,河流水系,地形、气候
水系特征,水文特征,河流水系,流向、河网密度
流向,流向型,水系特征,
河网密度,河网密度型,水系特征,
气温,气温型,气候要素,
气候要素,气象要素,气候,气温
