关键字,分类,上级,下级
冰川补给,补给方式,,冰川补给影响因素、气温
冰川,水体类型,,
融水,水源类型,,
补给,水文过程,,
河流,水文系统,,
方式,概念,,
主要,修饰词,,
高山,地形类型,,
高纬度,地理位置,,
时间,概念,,
集中,修饰词,,
气温,气象要素,,
较高,修饰词,,
夏季,季节,,
影响,动词,,
因素,概念,,
冰川补给影响因素,影响因素,冰川补给,气温
气温,气温型,冰川补给影响因素,
降水,降水型,降水补给影响因素,
植被,植被型,植被覆盖影响因素,
降水补给影响因素,影响因素,,
植被覆盖影响因素,影响因素,,
湖泊,水体类型,,湖泊类型、构造湖
成因,原因概念,,
构造湖,湖泊成因类型,,
火山口湖,湖泊成因类型,,
堰塞湖,湖泊成因类型,,
类型,概念,,
地壳运动,地质作用,,
凹陷,地质过程,,
积水,过程,,
形成,动词,,
湖泊类型,湖泊分类,湖泊,构造湖
构造湖,构造湖型,湖泊类型,
火山喷发,火山喷发型,火山作用,
河流堆积,河流堆积型,河流作用,
火山作用,地质作用,,
河流作用,地质作用,,
地下水,水体类型,,地下水赋存空间、岩石空隙
埋藏,状态,,
地表,地理单元,,
以下,方位词,,
岩石,地质物质,,
空隙,空间概念,,
水体,水资源,,
埋藏条件,条件类型,,
潜水,地下水类型,,
承压水,地下水类型,,
重要,修饰词,,
淡水,水资源类型,,
资源,概念,,
赋存,动词,,
空间,概念,,
地下水赋存空间,空间类型,地下水,岩石空隙
岩石空隙,岩石空隙型,地下水赋存空间,
地表水体,地表水体型,地表水空间,
大气层,大气层型,大气水空间,
地表水空间,空间类型,,
大气水空间,空间类型,,
含沙量,水文指标,,河流含沙量影响因素、土壤侵蚀
单位,概念,,
体积,概念,,
泥沙,沉积物,,
数量,概念,,
黄河,河流名称,,
世界,地理范围,,
最大,修饰词,,
流经,动词,,
黄土高原,地貌单元,,
有关,关系,,
河流含沙量影响因素,影响因素,含沙量,土壤侵蚀
土壤侵蚀,土壤侵蚀型,河流含沙量影响因素,
降水量,降水量型,降水影响因素,
气温,气温型,气温影响因素,
降水影响因素,影响因素,,
气温影响因素,影响因素,,
径流量,水文指标,,河流径流量首要因素、降水量
一定,修饰词,,
时期,时间概念,,
通过,动词,,
断面,概念,,
水量,水文指标,,
蒸发,水文过程,,
下渗,水文过程,,
多种,修饰词,,
衡量,动词,,
水资源,资源类型,,
指标,概念,,
决定,动词,,
首要,修饰词,,
河流径流量首要因素,影响因素,径流量,降水量
降水量,降水量型,河流径流量首要因素,
蒸发量,蒸发量型,水量损失因素,
地形,地形型,地形影响因素,
水量损失因素,影响因素,,
地形影响因素,影响因素,,
